Cement (Kg/m³),Water (Kg/m³),W/C ,W/Binder,Sand (Kg/m³),Gravel (Kg/m³),Superplasticizer (kg/m³), GGBS Kg/m³,Age (days),C-S (Mpa)
140,175,1.25,0.5,1040.25,784.75,0,210,90,49.1
70,175,2.5,0.5,1034.55,780.45,0,280,90,35
320,120,0.38,0.3,1105.8,834.2,14,80,90,86.8
240,120,0.5,0.3,1102.95,832.05,9.6,160,90,87.8
160,120,0.75,0.3,1097.25,827.75,6,240,90,81.2
80,120,1.5,0.3,1091.55,823.45,4.8,320,90,70.6
320,160,0.5,0.4,1045.95,789.05,4,80,90,73.7
240,160,0.67,0.4,1040.25,784.75,4,160,90,76.3
160,160,1,0.4,1037.4,782.6,2.4,240,90,74
80,160,2,0.4,1031.7,778.3,3.6,320,90,58.9
320,200,0.63,0.5,986.1,743.9,0,80,90,65.4
240,200,0.83,0.5,980.4,739.6,0,160,90,65.9
160,200,1.25,0.5,974.7,735.3,0,240,90,58.3
80,200,2.5,0.5,971.85,733.15,0,320,90,38.1
360,135,0.38,0.3,1060.2,799.8,14.4,90,90,90.1
270,135,0.5,0.3,1054.5,795.5,11.7,180,90,88.3
180,135,0.75,0.3,1048.8,791.2,9,270,90,79
90,135,1.5,0.3,1043.1,786.9,8.1,360,90,76.2
360,180,0.5,0.4,991.8,748.2,3.6,90,90,72.4
270,180,0.67,0.4,986.1,743.9,2.25,180,90,77.9
180,180,1,0.4,980.4,739.6,2.25,270,90,75.1
90,180,2,0.4,974.7,735.3,1.35,360,90,56.8
360,225,0.63,0.5,923.4,696.6,0,90,90,61.4
270,225,0.83,0.5,917.7,692.3,0,180,90,57.9
180,225,1.25,0.5,912,688,0,270,90,49.6
90,225,2.5,0.5,906.3,683.7,0,360,90,31.6
280,105,0.38,0.3,1154.25,870.75,11.55,70,360,95.9
210,105,0.5,0.3,1148.55,866.45,8.75,140,360,96.8
140,105,0.75,0.3,1145.7,864.3,7,210,360,101.3
70,105,1.5,0.3,1140,860,5.6,280,360,78.4
280,140,0.5,0.4,1100.1,829.9,4.2,70,360,86.6
210,140,0.67,0.4,1097.25,827.75,3.5,140,360,84.6
140,140,1,0.4,1091.55,823.45,1.75,210,360,80.6
70,140,2,0.4,1088.7,821.3,2.8,280,360,58.9
280,175,0.63,0.5,1048.8,791.2,0,70,360,66.7
210,175,0.83,0.5,1043.1,786.9,0,140,360,65.1
140,175,1.25,0.5,1040.25,784.75,0,210,360,57.4
70,175,2.5,0.5,1034.55,780.45,0,280,360,39.6
320,120,0.38,0.3,1105.8,834.2,14,80,360,86.9
240,120,0.5,0.3,1102.95,832.05,9.6,160,360,91.8
160,120,0.75,0.3,1097.25,827.75,6,240,360,85.7
80,120,1.5,0.3,1091.55,823.45,4.8,320,360,74.7
320,160,0.5,0.4,1045.95,789.05,4,80,360,76.7
240,160,0.67,0.4,1040.25,784.75,4,160,360,78.2
160,160,1,0.4,1037.4,782.6,2.4,240,360,79.1
80,160,2,0.4,1031.7,778.3,3.6,320,360,62.6
320,200,0.63,0.5,986.1,743.9,0,80,360,69.8
240,200,0.83,0.5,980.4,739.6,0,160,360,71.7
160,200,1.25,0.5,974.7,735.3,0,240,360,65.9
80,200,2.5,0.5,971.85,733.15,0,320,360,39.1
360,135,0.38,0.3,1060.2,799.8,14.4,90,360,97.1
270,135,0.5,0.3,1054.5,795.5,11.7,180,360,92.4
180,135,0.75,0.3,1048.8,791.2,9,270,360,89.2
90,135,1.5,0.3,1043.1,786.9,8.1,360,360,82.9
360,180,0.5,0.4,991.8,748.2,3.6,90,360,76.4
270,180,0.67,0.4,986.1,743.9,2.25,180,360,79
180,180,1,0.4,980.4,739.6,2.25,270,360,82.8
90,180,2,0.4,974.7,735.3,1.35,360,360,68
360,225,0.63,0.5,923.4,696.6,0,90,360,65.8
270,225,0.83,0.5,917.7,692.3,0,180,360,65.2
180,225,1.25,0.5,912,688,0,270,360,56
90,225,2.5,0.5,906.3,683.7,0,360,360,34.3
332.5,228,0.69,0.48,594,932,0,142.5,270,40.27
332.5,228,0.69,0.48,594,932,0,142.5,365,41.05
198.6,192,0.97,0.58,825.5,978.4,0,132.4,360,44.3
266,228,0.86,0.6,670,932,0,114,90,47.03
380,228,0.6,0.48,594,932,0,95,365,43.7
380,228,0.6,0.48,594,932,0,95,28,36.45
266,228,0.86,0.6,670,932,0,114,28,45.85
198.6,192,0.97,0.58,825.5,978.4,0,132.4,90,38.07
198.6,192,0.97,0.58,825.5,978.4,0,132.4,28,28.02
427.5,228,0.53,0.48,594,932,0,47.5,270,43.01
190,228,1.2,0.6,670,932,0,190,90,42.33
304,228,0.75,0.6,670,932,0,76,28,47.81
139.6,192,1.38,0.55,806.9,1047,0,209.4,90,39.36
342,228,0.67,0.6,670,932,0,38,365,56.14
380,228,0.6,0.48,594,932,0,95,90,40.56
427.5,228,0.53,0.48,594,932,0,47.5,180,41.84
139.6,192,1.38,0.55,806.9,1047,0,209.4,28,28.24
139.6,192,1.38,0.55,806.9,1047,0,209.4,3,8.06
139.6,192,1.38,0.55,806.9,1047,0,209.4,180,44.21
380,228,0.6,0.48,594,932,0,95,270,41.15
342,228,0.67,0.6,670,932,0,38,180,52.12
427.5,228,0.53,0.48,594,932,0,47.5,28,37.43
304,228,0.75,0.6,670,932,0,76,365,55.26
266,228,0.86,0.6,670,932,0,114,365,52.91
198.6,192,0.97,0.58,825.5,978.4,0,132.4,180,41.72
190,228,1.2,0.6,670,932,0,190,365,53.69
237.5,228,0.96,0.48,594,932,0,237.5,270,38.41
237.5,228,0.96,0.48,594,932,0,237.5,28,30.08
332.5,228,0.69,0.48,594,932,0,142.5,90,37.72
237.5,228,0.96,0.48,594,932,0,237.5,180,36.25
342,228,0.67,0.6,670,932,0,38,90,50.46
427.5,228,0.53,0.48,594,932,0,47.5,365,43.7
237.5,228,0.96,0.48,594,932,0,237.5,365,39
427.5,228,0.53,0.48,594,932,0,47.5,90,41.54
427.5,228,0.53,0.48,594,932,0,47.5,7,35.08
380,228,0.6,0.48,594,932,0,95,180,40.76
237.5,228,0.96,0.48,594,932,0,237.5,7,26.26
380,228,0.6,0.48,594,932,0,95,7,32.82
332.5,228,0.69,0.48,594,932,0,142.5,180,39.78
190,228,1.2,0.6,670,932,0,190,180,46.93
237.5,228,0.96,0.48,594,932,0,237.5,90,33.12
304,228,0.75,0.6,670,932,0,76,90,49.19
139.6,192,1.38,0.55,806.9,1047,0,209.4,7,14.59
198.6,192,0.97,0.58,825.5,978.4,0,132.4,7,14.64
198.6,192,0.97,0.58,825.5,978.4,0,132.4,3,9.13
304,228,0.75,0.6,670,932,0,76,180,50.95
332.5,228,0.69,0.48,594,932,0,142.5,28,33.02
304,228,0.75,0.6,670,932,0,76,270,54.38
266,228,0.86,0.6,670,932,0,114,270,51.73
190,228,1.2,0.6,670,932,0,190,270,50.66
266,228,0.86,0.6,670,932,0,114,180,48.7
342,228,0.67,0.6,670,932,0,38,270,55.06
139.6,192,1.38,0.55,806.9,1047,0,209.4,360,44.7
332.5,228,0.69,0.48,594,932,0,142.5,7,30.28
190,228,1.2,0.6,670,932,0,190,28,40.86
374,170.1,0.45,0.3,756.7,926.1,10.1,189.2,3,34.4
313.3,175.5,0.56,0.3,611.8,1046.9,8.6,262.2,3,28.8
425,153.5,0.36,0.29,887.1,852.1,16.5,106.3,3,33.4
425,151.4,0.36,0.28,803.7,936,18.6,106.3,3,36.3
375,126.6,0.34,0.27,992.6,852.1,23.4,93.8,3,29
475,181.1,0.38,0.3,781.5,852.1,8.9,118.8,3,37.8
469,137.8,0.29,0.24,840.5,852.1,32.2,117.2,3,40.2
388.6,157.9,0.41,0.33,925.7,852.1,12.1,97.1,3,28.1
318.8,155.7,0.49,0.29,880.4,852.1,14.3,212.5,3,25.2
401.8,147.4,0.37,0.3,852.1,946.8,11.4,94.7,3,41.1
362.6,164.9,0.45,0.3,755.8,944.7,11.6,189,3,35.3
323.7,183.8,0.57,0.3,659.9,942.7,10.3,282.8,3,28.3
379.5,153.9,0.41,0.29,605,1134.3,15.9,151.2,3,28.6
286.3,144.7,0.51,0.3,803.7,1004.6,11.2,200.9,3,24.4
439,186,0.42,0.3,707.9,884.9,11.1,177,3,39.3
389.9,145.9,0.37,0.25,755.8,944.7,22,189,3,40.6
337.9,174.9,0.52,0.33,755.8,944.7,9.5,189,3,24.1
374,170.1,0.45,0.3,756.7,926.1,10.1,189.2,7,46.2
313.3,175.5,0.56,0.3,611.8,1046.9,8.6,262.2,7,42.8
425,153.5,0.36,0.29,887.1,852.1,16.5,106.3,7,49.2
425,151.4,0.36,0.28,803.7,936,18.6,106.3,7,46.8
375,126.6,0.34,0.27,992.6,852.1,23.4,93.8,7,45.7
475,181.1,0.38,0.3,781.5,852.1,8.9,118.8,7,55.6
469,137.8,0.29,0.24,840.5,852.1,32.2,117.2,7,54.9
401.8,147.4,0.37,0.3,852.1,946.8,11.4,94.7,7,54.1
362.6,164.9,0.45,0.3,755.8,944.7,11.6,189,7,55.9
323.7,183.8,0.57,0.3,659.9,942.7,10.3,282.8,7,49.8
379.5,153.9,0.41,0.29,605,1134.3,15.9,151.2,7,47.1
286.3,144.7,0.51,0.3,803.7,1004.6,11.2,200.9,7,38
439,186,0.42,0.3,707.9,884.9,11.1,177,7,56.1
389.9,145.9,0.37,0.25,755.8,944.7,22,189,7,59.09
362.6,164.9,0.45,0.3,755.8,944.7,11.6,189,7,22.9
337.9,174.9,0.52,0.33,755.8,944.7,9.5,189,7,35.1
374,170.1,0.45,0.3,756.7,926.1,10.1,189.2,28,61.09
313.3,175.5,0.56,0.3,611.8,1046.9,8.6,262.2,28,59.8
425,153.5,0.36,0.29,887.1,852.1,16.5,106.3,28,60.29
475,181.1,0.38,0.3,781.5,852.1,8.9,118.8,28,68.3
469,137.8,0.29,0.24,840.5,852.1,32.2,117.2,28,66.9
388.6,157.9,0.41,0.33,925.7,852.1,12.1,97.1,28,50.7
318.8,155.7,0.49,0.29,880.4,852.1,14.3,212.5,28,55.5
401.8,147.4,0.37,0.3,852.1,946.8,11.4,94.7,28,68.5
362.6,164.9,0.45,0.3,755.8,944.7,11.6,189,28,71.3
323.7,183.8,0.57,0.3,659.9,942.7,10.3,282.8,28,74.7
379.5,153.9,0.41,0.29,605,1134.3,15.9,151.2,28,52.2
286.3,144.7,0.51,0.3,803.7,1004.6,11.2,200.9,28,67.7
439,186,0.42,0.3,707.9,884.9,11.1,177,28,66
389.9,145.9,0.37,0.25,755.8,944.7,22,189,28,74.5
337.9,174.9,0.52,0.33,755.8,944.7,9.5,189,28,49.9
374,170.1,0.45,0.3,756.7,926.1,10.1,189.2,56,63.4
313.3,175.5,0.56,0.3,611.8,1046.9,8.6,262.2,56,64.9
425,153.5,0.36,0.29,887.1,852.1,16.5,106.3,56,64.3
425,151.4,0.36,0.28,803.7,936,18.6,106.3,56,64.9
375,126.6,0.34,0.27,992.6,852.1,23.4,93.8,56,60.2
475,181.1,0.38,0.3,781.5,852.1,8.9,118.8,56,72.3
469,137.8,0.29,0.24,840.5,852.1,32.2,117.2,56,69.3
388.6,157.9,0.41,0.33,925.7,852.1,12.1,97.1,56,55.2
318.8,155.7,0.49,0.29,880.4,852.1,14.3,212.5,56,66.1
401.8,147.4,0.37,0.3,852.1,946.8,11.4,94.7,56,73.7
362.6,164.9,0.45,0.3,755.8,944.7,11.6,189,56,77.3
323.7,183.8,0.57,0.3,659.9,942.7,10.3,282.8,56,80.2
379.5,153.9,0.41,0.29,605,1134.3,15.9,151.2,56,54.9
286.3,144.7,0.51,0.3,803.7,1004.6,11.2,200.9,56,72.99
439,186,0.42,0.3,707.9,884.9,11.1,177,56,71.7
389.9,145.9,0.37,0.25,755.8,944.7,22,189,56,79.4
337.9,174.9,0.52,0.33,755.8,944.7,9.5,189,56,59.89
374,170.1,0.45,0.3,756.7,926.1,10.1,189.2,91,64.9
313.3,175.5,0.56,0.3,611.8,1046.9,8.6,262.2,91,66.6
425,153.5,0.36,0.29,887.1,852.1,16.5,106.3,91,65.2
425,151.4,0.36,0.28,803.7,936,18.6,106.3,91,66.7
375,126.6,0.34,0.27,992.6,852.1,23.4,93.8,91,62.5
475,181.1,0.38,0.3,781.5,852.1,8.9,118.8,91,74.19
469,137.8,0.29,0.24,840.5,852.1,32.2,117.2,91,70.7
388.6,157.9,0.41,0.33,925.7,852.1,12.1,97.1,91,57.6
318.8,155.7,0.49,0.29,880.4,852.1,14.3,212.5,91,68.1
401.8,147.4,0.37,0.3,852.1,946.8,11.4,94.7,91,75.5
362.6,164.9,0.45,0.3,755.8,944.7,11.6,189,91,79.3
379.5,153.9,0.41,0.29,605,1134.3,15.9,151.2,91,56.5
286.3,144.7,0.51,0.3,803.7,1004.6,11.2,200.9,91,76.8
439,186,0.42,0.3,707.9,884.9,11.1,177,91,73.3
389.9,145.9,0.37,0.25,755.8,944.7,22,189,91,82.6
337.9,174.9,0.52,0.33,755.8,944.7,9.5,189,91,67.8
315,145,0.46,0.32,745,1130,5.9,137,28,81.75
450.1,200,0.44,0.4,613.2,1124.4,3,50,28,39.38
200,190,0.95,0.48,660,1145,0,200,28,49.25
234,189,0.81,0.48,760,981,5.85,156,28,39.3
285,163,0.57,0.34,685,1031,7.6,190,28,53.58
356,160,0.45,0.34,657,1061,9.03,119,28,59
158.8,185.7,1.17,0.47,734.3,1040.6,0,238.2,7,9.62
239.6,185.7,0.78,0.31,664.3,941.6,0,359.4,7,25.42
238.2,185.7,0.78,0.47,734.3,1040.6,0,158.8,7,15.69
181.9,185.7,1.02,0.41,714.3,1012.4,0,272.8,28,27.94
193.5,185.7,0.96,0.38,704.3,998.2,0,290.2,28,32.63
255.5,185.7,0.73,0.44,724.3,1026.6,0,170.3,7,17.24
272.8,185.7,0.68,0.41,714.3,1012.4,0,181.9,7,19.77
239.6,185.7,0.78,0.31,664.3,941.6,0,359.4,28,39.44
220.8,185.7,0.84,0.5,744.3,1055,0,147.2,28,25.75
210.7,185.7,0.88,0.35,689.3,977,0,316.1,7,21.82
158.8,185.7,1.17,0.47,734.3,1040.6,0,238.2,28,21.07
255.5,185.7,0.73,0.44,724.3,1026.6,0,170.3,28,32.05
203.5,185.7,0.91,0.55,759.3,1076.2,0,135.7,7,11.96
228,185.7,0.81,0.33,674.3,955.8,0,342.1,28,39.7
220.8,185.7,0.84,0.5,744.3,1055,0,147.2,7,13.09
316.1,185.7,0.59,0.35,689.3,977,0,210.7,28,38.7
135.7,185.7,1.37,0.55,759.3,1076.2,0,203.5,7,7.51
135.7,185.7,1.37,0.55,759.3,1076.2,0,203.5,28,18.2
193.5,185.7,0.96,0.38,704.3,998.2,0,290.2,7,17.2
203.5,185.7,0.91,0.55,759.3,1076.2,0,135.7,28,22.63
290.2,185.7,0.64,0.38,704.3,998.2,0,193.5,7,21.86
181.9,185.7,1.02,0.41,714.3,1012.4,0,272.8,7,12.37
170.3,185.7,1.09,0.57,724.3,1026.6,0,155.5,28,25.73
210.7,185.7,0.88,0.35,689.3,977,0,316.1,28,37.81
228,185.7,0.81,0.33,674.3,955.8,0,342.1,7,21.92
290.2,185.7,0.64,0.38,704.3,998.2,0,193.5,28,33.04
238.2,185.7,0.78,0.47,734.3,1040.6,0,158.8,28,26.91
186.2,185.7,1,0.6,764.3,1083.4,0,124.1,7,8
316.1,185.7,0.59,0.35,689.3,977,0,210.7,7,24.44
186.2,185.7,1,0.6,764.3,1083.4,0,124.1,28,17.6
170.3,185.7,1.09,0.57,724.3,1026.6,0,155.5,7,10.73
272.8,185.7,0.68,0.41,714.3,1012.4,0,181.9,28,31.38
203.5,203.5,1,0.4,630,963.4,0,305.3,7,19.54
250.2,203.5,0.81,0.49,694.1,977.6,0,166.8,90,47.71
157,192,1.22,0.49,781.2,935.4,0,236,90,43.38
141.3,203.5,1.44,0.58,748.5,971.8,0,212,28,29.89
166.8,203.5,1.22,0.49,692.6,975.6,0,250.2,3,6.9
122.6,203.5,1.66,0.66,800.1,958.2,0,183.9,90,33.19
183.9,203.5,1.11,0.66,800,959.2,0,122.6,3,4.9
102,192,1.88,0.75,942,887,0,153,3,4.57
102,192,1.88,0.75,942,887,0,153,90,25.46
122.6,203.5,1.66,0.66,800.1,958.2,0,183.9,28,24.29
166.8,203.5,1.22,0.49,692.6,975.6,0,250.2,28,33.95
200,192,0.96,0.58,806.2,965.4,0,133,3,11.41
108.3,203.5,1.88,0.75,849,938.2,0,162.4,28,20.59
305.3,203.5,0.67,0.4,631,965.4,0,203.5,7,25.89
108.3,203.5,1.88,0.75,849,938.2,0,162.4,90,29.23
116,192,1.66,0.66,891.9,909.8,0,173,90,31.02
141.3,203.5,1.44,0.58,748.5,971.8,0,212,7,10.39
157,192,1.22,0.49,781.2,935.4,0,236,28,33.66
133,192,1.44,0.58,839.2,927.4,0,200,28,27.87
250.2,203.5,0.81,0.49,694.1,977.6,0,166.8,7,19.35
173,192,1.11,0.66,856.8,946.8,0,116,7,11.39
192,192,1,0.4,716.1,929.8,0,288,3,12.79
192,192,1,0.4,716.1,929.8,0,288,28,39.32
153,192,1.25,0.75,943.1,888,0,102,3,4.78
288,192,0.67,0.4,717.8,932,0,192,3,16.11
305.3,203.5,0.67,0.4,631,965.4,0,203.5,28,43.38
236,192,0.81,0.49,749.1,972.6,0,157,7,20.42
173,192,1.11,0.66,856.8,946.8,0,116,3,6.94
212,203.5,0.96,0.58,750,973.4,0,141.3,7,15.03
236,192,0.81,0.49,749.1,972.6,0,157,3,13.57
183.9,203.5,1.11,0.66,800,959.2,0,122.6,90,32.53
166.8,203.5,1.22,0.49,692.6,975.6,0,250.2,7,15.75
102,192,1.88,0.75,942,887,0,153,7,7.68
288,192,0.67,0.4,717.8,932,0,192,28,38.8
212,203.5,0.96,0.58,750,973.4,0,141.3,28,33
102,192,1.88,0.75,942,887,0,153,28,17.28
173,192,1.11,0.66,856.8,946.8,0,116,28,24.28
183.9,203.5,1.11,0.66,800,959.2,0,122.6,28,24.05
133,192,1.44,0.58,839.2,927.4,0,200,90,36.59
192,192,1,0.4,716.1,929.8,0,288,90,50.73
133,192,1.44,0.58,839.2,927.4,0,200,7,13.66
305.3,203.5,0.67,0.4,631,965.4,0,203.5,3,14.14
236,192,0.81,0.49,749.1,972.6,0,157,90,47.78
108.3,203.5,1.88,0.75,849,938.2,0,162.4,3,2.33
157,192,1.22,0.49,781.2,935.4,0,236,7,16.89
288,192,0.67,0.4,717.8,932,0,192,7,23.52
212,203.5,0.96,0.58,750,973.4,0,141.3,3,6.81
212,203.5,0.96,0.58,750,973.4,0,141.3,90,39.7
153,192,1.25,0.75,943.1,888,0,102,28,17.96
236,192,0.81,0.49,749.1,972.6,0,157,28,32.88
116,192,1.66,0.66,891.9,909.8,0,173,28,22.35
183.9,203.5,1.11,0.66,800,959.2,0,122.6,7,10.79
108.3,203.5,1.88,0.75,849,938.2,0,162.4,7,7.72
203.5,203.5,1,0.4,630,963.4,0,305.3,28,41.68
203.5,203.5,1,0.4,630,963.4,0,305.3,3,9.56
133,192,1.44,0.58,839.2,927.4,0,200,3,6.88
288,192,0.67,0.4,717.8,932,0,192,90,50.53
200,192,0.96,0.58,806.2,965.4,0,133,7,17.17
200,192,0.96,0.58,806.2,965.4,0,133,28,30.44
250.2,203.5,0.81,0.49,694.1,977.6,0,166.8,3,9.73
122.6,203.5,1.66,0.66,800.1,958.2,0,183.9,3,3.32
153,192,1.25,0.75,943.1,888,0,102,90,26.32
200,192,0.96,0.58,806.2,965.4,0,133,90,43.25
116,192,1.66,0.66,891.9,909.8,0,173,3,6.28
173,192,1.11,0.66,856.8,946.8,0,116,90,32.1
250.2,203.5,0.81,0.49,694.1,977.6,0,166.8,28,36.96
305.3,203.5,0.67,0.4,631,965.4,0,203.5,90,54.6
192,192,1,0.4,716.1,929.8,0,288,7,21.48
157,192,1.22,0.49,781.2,935.4,0,236,3,9.69
153,192,1.25,0.75,943.1,888,0,102,7,8.37
141.3,203.5,1.44,0.58,748.5,971.8,0,212,90,39.66
116,192,1.66,0.66,891.9,909.8,0,173,7,10.09
141.3,203.5,1.44,0.58,748.5,971.8,0,212,3,4.83
122.6,203.5,1.66,0.66,800.1,958.2,0,183.9,7,10.35
166.8,203.5,1.22,0.49,692.6,975.6,0,250.2,90,43.57
203.5,203.5,1,0.4,630,963.4,0,305.3,90,51.86
304,214,0.7,0.48,722,895,6,140,28,33.42
153,200,1.31,0.51,684,1002,6,239,28,26.86
310,168,0.54,0.37,804,914,10,143,28,45.3
321,190,0.59,0.39,774,870,5,164,28,57.21
366,191,0.52,0.35,757,824,7,187,28,65.91
156,180,1.15,0.45,698,1022,11,243,28,37.36
326,174,0.53,0.35,790,882,9,166,28,61.23
322,186,0.58,0.39,709,951,8,149,28,52.42
288,177,0.61,0.43,829,908,7,121,28,42.13
160,168,1.05,0.41,688,1049,12,250,28,39.45
166,183,1.1,0.43,827,859,13,260,28,37.91
159,176,1.11,0.51,789,990,11,187,28,32.76
155,193,1.25,0.57,697,1047,9,183,28,18.28
146,202,1.38,0.54,872,827,3,230,28,33.06
133,196,1.47,0.57,795,949,3,210,28,31.03
313,178,0.57,0.39,824,867,8,145,28,44.39
149,176,1.18,0.46,893,847,13,236,28,32.96
153,178,1.16,0.6,822,1000,8,145,28,19.01
313,178,0.57,0.38,759,917,10,161,28,52.44
284,168,0.59,0.42,794,970,7,120,28,40.93
150,174,1.16,0.45,675,1069,12,237,28,37.43
331,195,0.59,0.39,802,811,8,170,28,56.61
155,193,1.25,0.57,868,877,9,183,28,23.79
313,127,0.41,0.28,822,1000,8,145,28,44.52
146,182,1.25,0.57,817,986,3,173,28,23.74
313,178,0.57,0.39,689,1002,8,145,28,41.05
289,195,0.67,0.46,760,924,6,134,28,46.24
148,171,1.16,0.53,828,1000,2,175,28,26.92
154.8,193.3,1.25,0.57,696.7,1047.4,9.1,183.4,28,18.29
145.9,202.5,1.39,0.54,871.8,827,3.4,230.5,28,32.72
133.1,195.7,1.47,0.57,795.3,949.4,3.1,210.2,28,28.94
313.3,178.5,0.57,0.39,824,867.2,8,145,28,40.93
149.5,175.8,1.18,0.46,892.7,846.8,12.6,236,28,32.96
152.7,178.1,1.17,0.6,822.2,999.7,8,144.7,28,19.01
312.9,177.6,0.57,0.38,759.5,916.6,9.6,160.5,28,52.45
284,168.3,0.59,0.42,794.2,970.4,7.2,119.7,28,40.93
150,173.8,1.16,0.45,674.8,1069.3,11.9,236.8,28,37.43
330.5,194.9,0.59,0.39,802.3,811,8.1,169.6,28,56.62
154.8,193.3,1.25,0.57,867.7,877.2,9.1,183.4,28,23.79
312.7,127.3,0.41,0.28,822.2,999.7,8,144.7,28,44.52
145.7,181.9,1.25,0.57,816.8,985.8,3.4,172.6,28,23.74
313.3,178.5,0.57,0.39,688.7,1001.9,8,145,28,41.05
289,194.9,0.67,0.46,760.1,924.1,5.5,133.7,28,46.25
147.8,171.2,1.16,0.53,828.5,1000,2.2,175.1,28,26.92
303.6,213.5,0.7,0.48,722.5,895.5,6.2,139.9,28,33.42
152.6,200,1.31,0.51,683.9,1001.8,6.3,238.7,28,26.86
310,167.9,0.54,0.37,804,914.3,10,142.8,28,45.3
321.3,190.5,0.59,0.39,774,870,4.6,164.2,28,57.22
366,191.3,0.52,0.35,756.9,824.3,6.6,187,28,65.91
155.6,180.3,1.16,0.45,697.7,1022,10.7,243.5,28,37.36
325.6,174,0.53,0.35,790,881.6,8.9,166.4,28,61.24
322.5,185.8,0.58,0.39,709.5,951,8.5,148.6,28,52.43
288.4,177.4,0.62,0.43,829.5,907.9,7,121,28,42.14
159.8,168.4,1.05,0.41,688.2,1049.3,12.2,250,28,39.46
166,183.2,1.1,0.43,826.8,858.8,12.7,259.7,28,37.92
159.1,175.6,1.1,0.51,788.9,989.6,11.3,186.7,28,32.77
